Sentence Number,Token Number,Text
198,2,industry
198,3,does
198,4,Seishiro
198,5,Kato
198,6,work
199,0,Which
199,1,religious
199,2,denomination
199,3,is
199,4,Saint
199,5,Catherine
199,6,Monastery
199,7,associated
199,8,with
200,0,Is
200,1,Clockwork
200,2,Prince
200,3,a
200,4,standalone
200,5,novel
200,6,or
200,7,part
200,8,of
200,9,a
200,10,series
201,0,What
201,1,year
201,2,was
201,3,Clockwork
201,4,Prince
201,5,published
202,0,What
202,1,is
202,2,the
202,3,genre
202,4,of
202,5,Clockwork
202,6,Prince
203,0,How
203,1,many
203,2,episodes
203,3,are
203,4,there
203,5,in
203,6,the
203,7,Sherlock
203,8,Hound
203,9,TV
203,10,series
204,0,When
204,1,was
204,2,the
204,3,Sherlock
204,4,Hound
204,5,TV
204,6,series
204,7,released
205,0,What
205,1,is
205,2,the
205,3,genre
205,4,of
205,5,the
205,6,Sherlock
205,7,Hound
205,8,TV
205,9,series
206,0,What
206,1,is
206,2,the
206,3,architecture
206,4,style
206,5,of
206,6,Valaam
206,7,Monastery
207,0,Where
207,1,is
207,2,Valaam
207,3,Monastery
207,4,located
208,0,How
208,1,old
208,2,is
208,3,Valaam
208,4,Monastery
209,0,When
209,1,did
209,2,Son
209,3,Tung
209,4,M-TP
209,5,start
209,6,his
209,7,music
209,8,career
210,0,What
210,1,is
210,2,Son
210,3,Tung
210,4,M-TP
210,5,known
210,6,for
211,0,How
211,1,popular
211,2,is
211,3,Son
211,4,Tung
211,5,M-TP
211,6,in
211,7,Vietnam
212,0,Who
212,1,were
212,2,some
212,3,of
212,4,the
212,5,main
212,6,actors
212,7,in
212,8,the
212,9,movie
212,10,Jolly
212,11,Fellows
213,0,What
213,1,is
213,2,the
213,3,genre
213,4,of
213,5,the
213,6,movie
213,7,Jolly
213,8,Fellows
214,0,When
214,1,was
214,2,the
214,3,movie
214,4,Jolly
214,5,Fellows
214,6,released
215,0,Can
215,1,you
215,2,provide
215,3,the
215,4,lyrics
215,5,to
215,6,Angels
215,7,We
215,8,Have
215,9,Heard
215,10,on
215,11,High
216,0,Who
216,1,composed
216,2,the
216,3,musical
216,4,work
216,5,Angels
216,6,We
216,7,Have
216,8,Heard
216,9,on
216,10,High
217,0,What
217,1,year
217,2,was
217,3,Angels
217,4,We
217,5,Have
217,6,Heard
217,7,on
217,8,High
217,9,first
217,10,recorded
218,0,What
218,1,is
218,2,the
218,3,significance
218,4,of
218,5,the
218,6,colors
218,7,used
218,8,in
218,9,the
218,10,coat
218,11,of
218,12,arms
218,13,of
218,14,São
218,15,Tomé
218,16,and
218,17,Príncipe
219,0,What
219,1,symbols
219,2,are
219,3,featured
219,4,in
219,5,the
219,6,coat
219,7,of
219,8,arms
219,9,of
219,10,São
219,11,Tomé
219,12,and
219,13,Príncipe
220,0,Who
220,1,created
220,2,the
220,3,coat
220,4,of
220,5,arms
220,6,of
220,7,São
220,8,Tomé
220,9,and
220,10,Príncipe
221,0,When
221,1,was
221,2,the
221,3,Mass
221,4,in
221,5,B
221,6,minor
221,7,composed
222,0,Who
222,1,composed
222,2,the
222,3,Mass
222,4,in
222,5,B
222,6,minor
223,0,What
223,1,type
223,2,of
223,3,musical
223,4,work
223,5,is
223,6,the
223,7,Mass
223,8,in
223,9,B
223,10,minor
224,0,What
224,1,is
224,2,the
224,3,significance
224,4,of
224,5,the
224,6,Giza
224,7,Plateau
225,0,Where
225,1,is
225,2,the
225,3,Giza
225,4,Plateau
225,5,located
226,0,Which
226,1,country
226,2,is
226,3,home
226,4,to
226,5,the
226,6,Giza
226,7,Plateau
227,0,How
227,1,many
227,2,elements
227,3,are
227,4,featured
227,5,on
227,6,the
227,7,coat
227,8,of
227,9,arms
227,10,of
227,11,Tonga
228,0,Who
228,1,designed
228,2,the
228,3,coat
228,4,of
228,5,arms
228,6,of
228,7,Tonga
229,0,When
229,1,was
229,2,the
229,3,coat
229,4,of
229,5,arms
229,6,of
229,7,Tonga
229,8,officially
229,9,adopted
230,0,Which
230,1,country
230,2,is
230,3,Salisbury
230,4,Cathedral
230,5,in
231,0,What
231,1,type
231,2,of
231,3,place
231,4,is
231,5,Salisbury
231,6,Cathedral
232,0,What
232,1,is
232,2,the
232,3,denomination
232,4,of
232,5,Salisbury
232,6,Cathedral
233,0,What
233,1,is
233,2,the
233,3,Leaning
233,4,Tower
233,5,of
233,6,Pisa
233,7,famously
233,8,known
233,9,for
234,0,What
234,1,type
234,2,of
234,3,building
234,4,is
234,5,the
234,6,Leaning
234,7,Tower
234,8,of
234,9,Pisa
235,0,Where
235,1,is
235,2,the
235,3,Leaning
235,4,Tower
235,5,of
235,6,Pisa
235,7,situated
235,8,in
235,9,Italy
236,0,What
236,1,type
236,2,of
236,3,artwork
236,4,is
236,5,associated
236,6,with
236,7,The
236,8,Hound
236,9,of
236,10,the
236,11,Baskervilles
237,0,Who
237,1,is
237,2,the
237,3,author
237,4,of
237,5,the
237,6,crime
237,7,novel
237,8,The
237,9,Hound
237,10,of
237,11,the
237,12,Baskervilles
238,0,Can
238,1,you
238,2,provide
238,3,a
238,4,brief
238,5,description
238,6,of
238,7,The
238,8,Hound
238,9,of
238,10,the
238,11,Baskervilles
238,12,by
238,13,Arthur
238,14,Conan
238,15,Doyle
239,0,What
239,1,is
239,2,the
239,3,genre
239,4,of
239,5,the
239,6,movie
239,7,Battle
239,8,for
239,9,the
239,10,Planet
239,11,of
239,12,the
239,13,Apes
240,0,When
240,1,was
240,2,the
240,3,movie
240,4,Battle
240,5,for
240,6,the
240,7,Planet
240,8,of
240,9,the
240,10,Apes
240,11,released
241,0,Who
241,1,is
241,2,the
241,3,main
241,4,character
241,5,in
241,6,Battle
241,7,for
241,8,the
241,9,Planet
241,10,of
241,11,the
241,12,Apes
242,0,How
242,1,long
242,2,has
242,3,the
242,4,Pushkin
242,5,Museum
242,6,of
242,7,Fine
242,8,Arts
242,9,been
242,10,open
243,0,Where
243,1,is
243,2,the
243,3,Pushkin
243,4,Museum
243,5,of
243,6,Fine
243,7,Arts
243,8,located
244,0,What
244,1,type
244,2,of
244,3,art
244,4,can
244,5,be
244,6,found
244,7,at
244,8,the
244,9,Pushkin
244,10,Museum
244,11,of
244,12,Fine
244,13,Arts
245,0,Can
245,1,you
245,2,describe
245,3,the
245,4,role
245,5,of
245,6,the
245,7,Office
245,8,of
245,9,the
245,10,President
245,11,of
245,12,Ukraine
245,13,within
245,14,the
245,15,government
245,16,structure
246,0,Who
246,1,forms
246,2,and
246,3,leads
246,4,the
246,5,Office
246,6,of
246,7,the
246,8,President
246,9,of
246,10,Ukraine
247,0,What
247,1,type
247,2,of
247,3,powers
247,4,does
247,5,the
247,6,Office
247,7,of
247,8,the
247,9,President
247,10,of
247,11,Ukraine
247,12,have
248,0,How
248,1,many
248,2,women
248,3,are
248,4,featured
248,5,in
248,6,the
248,7,film
248,8,All
248,9,These
248,10,Women
249,0,What
249,1,is
249,2,the
249,3,genre
249,4,of
249,5,Ingmar
249,6,Bergman's
249,7,movie
249,8,All
249,9,These
249,10,Women
250,0,When
250,1,was
250,2,the
250,3,movie
250,4,All
250,5,These
250,6,Women
250,7,released
251,0,How
251,1,old
251,2,is
251,3,the
251,4,Muhammad
251,5,Ali
251,6,Mosque
252,0,What
252,1,type
252,2,of
252,3,place
252,4,is
252,5,the
252,6,Muhammad
252,7,Ali
252,8,Mosque
253,0,What
253,1,is
253,2,the
253,3,significance
253,4,of
253,5,the
253,6,Muhammad
253,7,Ali
253,8,Mosque
254,0,Who
254,1,commissioned
254,2,the
254,3,construction
254,4,of
254,5,the
254,6,Bibi-Khanym
254,7,Mosque
255,0,Where
255,1,is
255,2,the
255,3,Bibi-Khanym
255,4,Mosque
255,5,located
256,0,When
256,1,was
256,2,the
256,3,Bibi-Khanym
256,4,Mosque
256,5,built
257,0,How
257,1,does
257,2,the
257,3,Gospel
257,4,of
257,5,Basilides
257,6,fit
257,7,into
257,8,the
257,9,broader
257,10,context
257,11,of
257,12,ancient
257,13,religious
257,14,texts
258,0,Are
258,1,there
258,2,any
258,3,known
258,4,excerpts
258,5,or
258,6,references
258,7,to
258,8,the
258,9,Gospel
258,10,of
258,11,Basilides
258,12,in
258,13,other
258,14,texts
259,0,What
259,1,attempts
259,2,have
259,3,been
259,4,made
259,5,to
259,6,reconstruct
259,7,or
259,8,interpret
259,9,the
259,10,content
259,11,of
259,12,the
259,13,Gospel
259,14,of
259,15,Basilides
260,0,Is
260,1,the
260,2,Terzijski
260,3,Bridge
260,4,a
260,5,cultural
260,6,heritage
260,7,monument
261,0,Where
261,1,is
261,2,the
261,3,Terzijski
261,4,Bridge
261,5,located
262,0,How
262,1,would
262,2,you
262,3,describe
262,4,the
262,5,Terzijski
262,6,Bridge
263,0,What
263,1,can
263,2,corn
263,3,oil
263,4,be
263,5,used
263,6,for
264,0,How
264,1,is
264,2,corn
264,3,oil
264,4,made
265,0,Is
265,1,corn
265,2,oil
265,3,healthy
266,0,How
266,1,is
266,2,the
266,3,Dragon
266,4,King
266,5,depicted
266,6,in
266,7,art
266,8,and
266,9,literature
267,0,What
267,1,is
267,2,the
267,3,Dragon
267,4,King's
267,5,role
267,6,in
267,7,mythology
268,0,Where
268,1,is
268,2,the
268,3,Dragon
268,4,King
268,5,typically
268,6,found
269,0,How
269,1,would
269,2,you
269,3,describe
269,4,the
269,5,plot
269,6,of
269,7,Never
269,8,Let
269,9,Me
269,10,Go
270,0,When
270,1,was
270,2,the
270,3,book
270,4,Never
270,5,Let
270,6,Me
270,7,Go
270,8,published
271,0,What
271,1,is
271,2,the
271,3,genre
271,4,of
271,5,the
271,6,book
271,7,Never
271,8,Let
271,9,Me
271,10,Go
272,0,Who
272,1,were
272,2,the
272,3,main
272,4,actors
272,5,in
272,6,The
272,7,Way
272,8,of
272,9,All
272,10,Flesh
273,0,What
273,1,year
273,2,was
273,3,The
273,4,Way
273,5,of
273,6,All
273,7,Flesh
273,8,released
274,0,How
274,1,would
274,2,you
274,3,describe
274,4,the
274,5,genre
274,6,of
274,7,The
274,8,Way
274,9,of
274,10,All
274,11,Flesh
275,0,Who
275,1,played
275,2,the
275,3,lead
275,4,role
275,5,in
275,6,the
275,7,movie
275,8,Torrente
275,9,the
275,10,dumb
275,11,arm
275,12,of
275,13,the
275,14,law
276,0,What
276,1,year
276,2,was
276,3,the
276,4,movie
276,5,Torrente
276,6,the
276,7,dumb
276,8,arm
276,9,of
276,10,the
276,11,law
276,12,released
277,0,What
277,1,is
277,2,the
277,3,genre
277,4,of
277,5,the
277,6,movie
277,7,Torrente
277,8,the
277,9,dumb
277,10,arm
277,11,of
277,12,the
277,13,law
278,0,What
278,1,is
278,2,the
278,3,significance
278,4,of
278,5,the
278,6,Porcelain
278,7,Tower
278,8,of
278,9,Nanjing
278,10,in
278,11,relation
278,12,to
278,13,the
278,14,Great
278,15,Bao'en
278,16,Temple
279,0,When
279,1,was
279,2,the
279,3,Porcelain
279,4,Tower
279,5,of
279,6,Nanjing
279,7,constructed
280,0,In
280,1,which
280,2,dynasty
280,3,was
280,4,the
280,5,Porcelain
280,6,Tower
280,7,of
280,8,Nanjing
280,9,built
281,0,When
281,1,was
281,2,The
281,3,Bluest
281,4,Eye
281,5,first
281,6,published
282,0,Who
282,1,is
282,2,the
282,3,author
282,4,of
282,5,the
282,6,novel
282,7,The
282,8,Bluest
282,9,Eye
283,0,What
283,1,is
283,2,the
283,3,main
283,4,theme
283,5,explored
283,6,in
283,7,The
283,8,Bluest
283,9,Eye
284,0,What
284,1,is
284,2,the
284,3,main
284,4,theme
284,5,of
284,6,The
284,7,Doors
284,8,of
284,9,Perception
285,0,Who
285,1,is
285,2,the
285,3,author
285,4,of
285,5,the
285,6,book
285,7,The
285,8,Doors
285,9,of
285,10,Perception
286,0,Is
286,1,The
286,2,Doors
286,3,of
286,4,Perception
286,5,considered
286,6,a
286,7,work
286,8,of
286,9,art
287,0,What
287,1,is
287,2,the
287,3,plot
287,4,of
287,5,Kapıcılar
287,6,Kralı
288,0,What
288,1,is
288,2,the
288,3,genre
288,4,of
288,5,the
288,6,movie
288,7,Kapıcılar
288,8,Kralı
289,0,When
289,1,was
289,2,the
289,3,movie
289,4,Kapıcılar
289,5,Kralı
289,6,released
290,0,When
290,1,was
290,2,Tico
290,3,of
290,4,the
290,5,Seven
290,6,Seas
290,7,first
290,8,aired
291,0,Who
291,1,are
291,2,the
291,3,main
291,4,characters
291,5,in
291,6,Tico
291,7,of
291,8,the
291,9,Seven
291,10,Seas
292,0,How
292,1,many
292,2,episodes
292,3,are
292,4,there
292,5,in
292,6,Tico
292,7,of
292,8,the
292,9,Seven
292,10,Seas
293,0,Are
293,1,there
293,2,any
293,3,specific
293,4,rules
293,5,or
293,6,dress
293,7,code
293,8,to
293,9,be
293,10,followed
293,11,when
293,12,visiting
293,13,King
293,14,Abdullah
293,15,I
293,16,Mosque
294,0,How
294,1,would
294,2,you
294,3,describe
294,4,the
294,5,architectural
294,6,style
294,7,of
294,8,King
294,9,Abdullah
294,10,I
294,11,Mosque
295,0,Can
295,1,visitors
295,2,of
295,3,all
295,4,religious
295,5,backgrounds
295,6,enter
295,7,King
295,8,Abdullah
295,9,I
295,10,Mosque
296,0,What
296,1,was
296,2,Marie
296,3,Louise
296,4,I
296,5,Duchess
296,6,of
296,7,Parma's
296,8,title
296,9,before
296,10,she
296,11,became
296,12,Empress
296,13,of
296,14,France
297,0,What
297,1,was
297,2,Marie
297,3,Louise
297,4,I
297,5,Duchess
297,6,of
297,7,Parma's
297,8,role
297,9,as
297,10,Empress
297,11,of
297,12,France
298,0,When
298,1,did
298,2,Marie
298,3,Louise
298,4,I
298,5,Duchess
298,6,of
298,7,Parma
298,8,reign
298,9,as
298,10,Empress
298,11,of
298,12,France
299,0,How
299,1,would
299,2,you
299,3,describe
299,4,the
299,5,plot
299,6,of
299,7,The
299,8,World
299,9,in
299,10,His
299,11,Arms
300,0,What
300,1,year
300,2,was
300,3,The
300,4,World
300,5,in
300,6,His
300,7,Arms
300,8,released
301,0,What
301,1,type
301,2,of
301,3,film
301,4,is
301,5,The
301,6,World
301,7,in
301,8,His
301,9,Arms
302,0,How
302,1,would
302,2,you
302,3,describe
302,4,The
302,5,Rape
302,6,of
302,7,the
302,8,Lock
302,9,in
302,10,one
302,11,word
303,0,Who
303,1,is
303,2,the
303,3,author
303,4,of
303,5,The
303,6,Rape
303,7,of
303,8,the
303,9,Lock
304,0,What
304,1,type
304,2,of
304,3,artwork
304,4,is
304,5,The
304,6,Rape
304,7,of
304,8,the
304,9,Lock
305,0,How
305,1,would
305,2,you
305,3,describe
305,4,Serrabone
305,5,Priory
306,0,What
306,1,type
306,2,of
306,3,place
306,4,is
306,5,Serrabone
306,6,Priory
307,0,What
307,1,architectural
307,2,style
307,3,is
307,4,Church
307,5,of
307,6,the
307,7,Ascension
307,8,Kolomenskoye
307,9,built
307,10,in
308,0,How
308,1,old
308,2,is
308,3,Church
308,4,of
308,5,the
308,6,Ascension
308,7,Kolomenskoye
309,0,Can
309,1,visitors
309,2,go
309,3,inside
309,4,Church
309,5,of
309,6,the
309,7,Ascension
309,8,Kolomenskoye
310,0,What
310,1,is
310,2,Android
310,3,18's
310,4,relationship
310,5,with
310,6,Krillin
310,7,in
310,8,Dragon
310,9,Ball
311,0,What
311,1,are
311,2,Android
311,3,18's
311,4,special
311,5,abilities
311,6,and
311,7,powers
312,0,Who
312,1,did
312,2,Android
312,3,18
312,4,initially
312,5,serve
312,6,in
312,7,Dragon
312,8,Ball
313,0,Describe
313,1,the
313,2,song
313,3,White
313,4,Army
313,5,Black
313,6,Baron
313,7,in
313,8,one
313,9,sentence
314,0,What
314,1,is
314,2,the
314,3,subject
314,4,and
314,5,type
314,6,of
314,7,the
314,8,musical
314,9,work
314,10,White
314,11,Army
314,12,Black
314,13,Baron
315,0,Which
315,1,ensemble
315,2,performs
315,3,the
315,4,song
315,5,White
315,6,Army
315,7,Black
315,8,Baron
316,0,In
316,1,which
316,2,navies
316,3,did
316,4,Prince
316,5,Pierre
316,6,Duke
316,7,of
316,8,Penthièvre
316,9,serve
316,10,as
316,11,an
316,12,officer
317,0,What
317,1,was
317,2,the
317,3,primary
317,4,occupation
317,5,of
317,6,Prince
317,7,Pierre
317,8,Duke
317,9,of
317,10,Penthièvre
318,0,Was
318,1,Prince
318,2,Pierre
318,3,Duke
318,4,of
318,5,Penthièvre
318,6,known
318,7,for
318,8,his
318,9,travels
318,10,around
318,11,the
318,12,world
319,0,In
319,1,which
319,2,Dr
319,3,Seuss
319,4,stories
319,5,does
319,6,Horton
319,7,the
319,8,Elephant
319,9,appear
320,0,Can
320,1,you
320,2,provide
320,3,a
320,4,brief
320,5,description
320,6,of
320,7,Blind
320,8,Faith
321,0,What
321,1,type
321,2,of
321,3,media
321,4,is
321,5,Blind
321,6,Faith
322,0,When
322,1,was
322,2,Blind
322,3,Faith
322,4,released
323,0,Which
323,1,country
323,2,was
323,3,Andrey
323,4,Myagkov
323,5,from
324,0,What
324,1,is
324,2,Andrey
324,3,Myagkov
324,4,known
324,5,for
325,0,What
325,1,were
325,2,the
325,3,years
325,4,of
325,5,Andrey
325,6,Myagkov's
325,7,acting
325,8,career
326,0,In
326,1,what
326,2,ways
326,3,does
326,4,the
326,5,oak
326,6,leaf
326,7,cluster
326,8,contribute
326,9,to
326,10,the
326,11,visual
326,12,aesthetics
326,13,of
326,14,artwork
326,15,particularly
326,16,in
326,17,the
326,18,field
326,19,of
326,20,heraldry
327,0,How
327,1,does
327,2,an
327,3,oak
327,4,leaf
327,5,cluster
327,6,play
327,7,a
327,8,role
327,9,in
327,10,heraldry
327,11,and
327,12,represent
327,13,certain
327,14,achievements
327,15,or
327,16,honors
328,0,Can
328,1,you
328,2,explain
328,3,the
328,4,significance
328,5,of
328,6,the
328,7,oak
328,8,leaf
328,9,cluster
328,10,as
328,11,a
328,12,figure
328,13,in
328,14,military
328,15,awards
328,16,and
328,17,decorations
329,0,Which
329,1,river
329,2,does
329,3,the
329,4,Rostokino
329,5,Aqueduct
329,6,cross
330,0,Where
330,1,is
330,2,the
330,3,Rostokino
330,4,Aqueduct
330,5,located
331,0,What
331,1,is
331,2,the
331,3,Rostokino
331,4,Aqueduct
331,5,made
331,6,of
332,0,Where
332,1,is
332,2,the
332,3,headquarters
332,4,of
332,5,the
332,6,Legion
332,7,of
332,8,Monsters
332,9,located
333,0,What
333,1,powers
333,2,do
333,3,the
333,4,Legion
333,5,of
333,6,Monsters
333,7,possess
334,0,When
334,1,was
334,2,the
334,3,Legion
334,4,of
334,5,Monsters
334,6,first
334,7,introduced
334,8,in
334,9,comic
334,10,books
335,0,What
335,1,are
335,2,the
335,3,benefits
335,4,of
335,5,incorporating
335,6,green
335,7,chemistry
335,8,practices
335,9,in
335,10,industries
336,0,How
336,1,does
336,2,green
336,3,chemistry
336,4,minimize
336,5,the
336,6,use
336,7,of
336,8,hazardous
336,9,substances
337,0,Can
337,1,you
337,2,give
337,3,an
337,4,example
337,5,of
337,6,a
337,7,green
337,8,chemistry
337,9,innovation
338,0,How
338,1,many
338,2,musketeers
338,3,are
338,4,featured
338,5,in
338,6,the
338,7,1978
338,8,TV
338,9,series
338,10,D'Artagnan
338,11,and
338,12,Three
338,13,Musketeers
339,0,When
339,1,was
339,2,the
339,3,1978
339,4,TV
339,5,series
339,6,D'Artagnan
339,7,and
339,8,Three
339,9,Musketeers
339,10,released
340,0,Can
340,1,you
340,2,name
340,3,a
340,4,director
340,5,of
340,6,the
340,7,1978
340,8,TV
340,9,series
340,10,D'Artagnan
340,11,and
340,12,Three
340,13,Musketeers
341,0,Where
341,1,can
341,2,I
341,3,watch
341,4,episodes
341,5,of
341,6,You
341,7,Are
341,8,the
341,9,One
341,10,online
342,0,What
342,1,is
342,2,the
342,3,storyline
342,4,of
342,5,the
342,6,Argentine
342,7,telenovela
342,8,You
342,9,Are
342,10,the
342,11,One
343,0,When
343,1,did
343,2,the
343,3,TV
343,4,series
343,5,You
343,6,Are
343,7,the
343,8,One
343,9,first
343,10,air
343,11,in
343,12,Argentina
344,0,What
344,1,is
344,2,the
344,3,purpose
344,4,of
344,5,the
344,6,Strahov
344,7,Monastery
345,0,Where
345,1,is
345,2,the
345,3,Strahov
345,4,Monastery
345,5,located
346,0,What
346,1,type
346,2,of
346,3,place
346,4,is
346,5,the
346,6,Strahov
346,7,Monastery
347,0,How
347,1,many
347,2,seasons
347,3,of
347,4,The
347,5,Tiger
347,6,Brigades
347,7,have
347,8,been
347,9,released
348,0,Who
348,1,are
348,2,the
348,3,main
348,4,characters
348,5,in
348,6,The
348,7,Tiger
348,8,Brigades
349,0,Where
349,1,is
349,2,The
349,3,Tiger
349,4,Brigades
349,5,TV
349,6,series
349,7,set
350,0,How
350,1,long
350,2,does
350,3,it
350,4,take
350,5,for
350,6,a
350,7,sunflower
350,8,seed
350,9,to
350,10,grow
350,11,into
350,12,a
350,13,mature
350,14,sunflower
351,0,What
351,1,nutrients
351,2,are
351,3,found
351,4,in
351,5,sunflower
351,6,seeds
352,0,Do
352,1,sunflower
352,2,seeds
352,3,have
352,4,any
352,5,health
352,6,benefits
353,0,Can
353,1,you
353,2,find
353,3,national
353,4,history
353,5,exhibits
353,6,at
353,7,the
353,8,State
353,9,Historical
353,10,Museum
354,0,Is
354,1,the
354,2,State
354,3,Historical
354,4,Museum
354,5,located
354,6,in
354,7,Russia
355,0,What
355,1,type
355,2,of
355,3,museum
355,4,is
355,5,the
355,6,State
355,7,Historical
355,8,Museum
356,0,Who
356,1,are
356,2,the
356,3,main
356,4,characters
356,5,in
356,6,The
356,7,Emperor
356,8,and
356,9,the
356,10,Assassin
357,0,When
357,1,was
357,2,The
357,3,Emperor
357,4,and
357,5,the
357,6,Assassin
357,7,released
358,0,What
358,1,is
358,2,the
358,3,genre
358,4,of
358,5,the
358,6,movie
358,7,The
358,8,Emperor
358,9,and
358,10,the
358,11,Assassin
359,0,What
359,1,is
359,2,the
359,3,architectural
359,4,style
359,5,of
359,6,the
359,7,Grand
359,8,Mosque
360,0,What
360,1,is
360,2,the
360,3,Grand
360,4,Mosque
360,5,known
360,6,for
360,7,in
360,8,terms
360,9,of
360,10,religious
360,11,significance
361,0,How
361,1,old
361,2,is
361,3,the
361,4,Grand
361,5,Mosque
361,6,in
361,7,Kuwait
361,8,City
362,0,Is
362,1,chocolate
362,2,liquor
362,3,the
362,4,same
362,5,as
362,6,chocolate
362,7,syrup
363,0,How
363,1,is
363,2,chocolate
363,3,liquor
363,4,typically
363,5,used
363,6,in
363,7,cooking
363,8,and
363,9,baking
364,0,Can
364,1,chocolate
364,2,liquor
364,3,be
364,4,consumed
364,5,as
364,6,is
364,7,without
364,8,any
364,9,further
364,10,processing
365,0,Is
365,1,Conner
365,2,Kent
365,3,a
365,4,fictional
365,5,character
366,0,What
366,1,is
366,2,Conner
366,3,Kent's
366,4,role
366,5,in
366,6,the
366,7,DC
366,8,Comics
366,9,universe
367,0,Is
367,1,Conner
367,2,Kent
367,3,a
367,4,superhero
368,0,When
368,1,was
368,2,the
368,3,current
368,4,coat
368,5,of
368,6,arms
368,7,of
368,8,North
368,9,Macedonia
368,10,adopted
369,0,What
369,1,symbols
369,2,are
369,3,depicted
369,4,on
369,5,the
369,6,coat
369,7,of
369,8,arms
369,9,of
369,10,North
369,11,Macedonia
370,0,Who
370,1,designed
370,2,the
370,3,coat
370,4,of
370,5,arms
370,6,of
370,7,North
370,8,Macedonia
371,0,How
371,1,many
371,2,movements
371,3,are
371,4,there
371,5,in
371,6,the
371,7,Violin
371,8,Concerto
372,0,How
372,1,would
372,2,you
372,3,describe
372,4,the
372,5,musical
372,6,genre
372,7,of
372,8,the
372,9,Violin
372,10,Concerto
373,0,Who
373,1,is
373,2,the
373,3,intended
373,4,soloist
373,5,in
373,6,the
373,7,Violin
373,8,Concerto
374,0,What
374,1,is
374,2,the
374,3,musical
374,4,style
374,5,of
374,6,the
374,7,Lyric
374,8,Pieces
375,0,What
375,1,instrument
375,2,is
375,3,the
375,4,Lyric
375,5,Pieces
375,6,composed
375,7,for
376,0,Can
376,1,you
376,2,name
376,3,one
376,4,famous
376,5,piece
376,6,from
376,7,the
376,8,Lyric
376,9,Pieces
376,10,collection
377,0,How
377,1,many
377,2,seasons
377,3,of
377,4,The
377,5,Adventures
377,6,of
377,7,Paddington
377,8,Bear
377,9,are
377,10,there
378,0,How
378,1,would
378,2,you
378,3,describe
378,4,the
378,5,animation
378,6,style
378,7,of
378,8,The
378,9,Adventures
378,10,of
378,11,Paddington
378,12,Bear
379,0,What
379,1,is
379,2,the
379,3,genre
379,4,of
379,5,the
379,6,The
379,7,Adventures
379,8,of
379,9,Paddington
379,10,Bear
379,11,TV
379,12,series
380,0,Can
380,1,you
380,2,provide
380,3,details
380,4,about
380,5,the
380,6,2004
380,7,movie
380,8,Losing
380,9,is
380,10,a
380,11,matter
380,12,of
380,13,method
381,0,Who
381,1,directed
381,2,the
381,3,2004
381,4,movie
381,5,Losing
381,6,is
381,7,a
381,8,matter
381,9,of
381,10,method
382,0,What
382,1,genre
382,2,does
382,3,the
382,4,2004
382,5,film
382,6,Losing
382,7,is
382,8,a
382,9,matter
382,10,of
382,11,method
382,12,belong
382,13,to
383,0,When
383,1,was
383,2,Symphony
383,3,No
383,4,7
383,5,composed
384,0,Who
384,1,composed
384,2,Symphony
384,3,No
384,4,7
385,0,How
385,1,many
385,2,movements
385,3,are
385,4,there
385,5,in
385,6,Symphony
385,7,No
385,8,7
386,0,What
386,1,is
386,2,the
386,3,genre
386,4,of
386,5,Lord
386,6,of
386,7,the
386,8,Flies
387,0,Who
387,1,is
387,2,the
387,3,author
387,4,of
387,5,Lord
387,6,of
387,7,the
387,8,Flies
388,0,When
388,1,was
388,2,Lord
388,3,of
388,4,the
388,5,Flies
388,6,published
389,0,Who
389,1,can
389,2,visit
389,3,the
389,4,Sinaia
389,5,Monastery
389,6,and
389,7,what
389,8,can
389,9,they
389,10,expect
389,11,to
389,12,see
390,0,How
390,1,would
390,2,you
390,3,describe
390,4,the
390,5,Sinaia
390,6,Monastery
390,7,in
390,8,Prahova
390,9,County
391,0,When
391,1,was
391,2,the
391,3,Sinaia
391,4,Monastery
391,5,built
391,6,and
391,7,why
391,8,is
391,9,it
391,10,considered
391,11,a
391,12,heritage
391,13,site
392,0,When
392,1,was
392,2,Yevgeny
392,3,Mravinsky
392,4,born
392,5,and
392,6,when
392,7,did
392,8,he
392,9,pass
392,10,away
393,0,What
393,1,were
393,2,Yevgeny
393,3,Mravinsky's
393,4,professions
394,0,What
394,1,was
394,2,Yevgeny
394,3,Mravinsky
394,4,known
394,5,for
395,0,Can
395,1,you
395,2,give
395,3,a
395,4,brief
395,5,summary
395,6,of
395,7,Maigret
395,8,on
395,9,the
395,10,Riviera
396,0,Who
396,1,is
396,2,the
396,3,author
396,4,of
396,5,the
396,6,novel
396,7,Maigret
396,8,on
396,9,the
396,10,Riviera
397,0,What
397,1,is
397,2,the
397,3,setting
397,4,of
397,5,the
397,6,novel
397,7,Maigret
397,8,on
397,9,the
397,10,Riviera
398,0,What
398,1,is
398,2,the
398,3,genre
398,4,of
398,5,the
398,6,film
398,7,Maine-Ocean
398,8,Express
399,0,When
399,1,was
399,2,the
399,3,movie
399,4,Maine-Ocean
399,5,Express
399,6,released
400,0,Can
400,1,you
400,2,provide
400,3,a
400,4,brief
400,5,description
400,6,of
400,7,the
400,8,1986
400,9,movie
400,10,Maine-Ocean
400,11,Express
401,0,Who
401,1,is
401,2,the
401,3,director
401,4,of
401,5,the
401,6,1989
401,7,movie
401,8,featuring
401,9,the
401,10,title
401,11,Listen
401,12,to
401,13,Me
402,0,When
402,1,was
402,2,the
402,3,film
